Company,Cluster
ADI,0
AFL,0
ALL,0
AMZN,0
BA,0
BLK,0
BRK-B,0
COP,0
CSCO,0
DE,0
EMR,0
ET,0
F,0
GILD,0
IDXX,0
INTU,0
MAR,0
NDAQ,0
NKE,0
PCAR,0
PFE,0
REGN,0
SO,0
T,0
TRV,0
VRTX,0
WFC,0
ZTS,0
AMAT,1
AMD,1
APO,1
ARES,1
BK,1
CAT,1
CMI,1
COR,1
FTNT,1
GLW,1
GM,1
GOOG,1
GS,1
HCA,1
IBM,1
KKR,1
LLY,1
MCK,1
META,1
MRVL,1
MS,1
NEM,1
NFLX,1
PANW,1
PH,1
RCL,1
SCCO,1
TSLA,1
UBER,1
WELL,1
WMT,1
ABT,2
ADSK,2
CI,2
CL,2
CMCSA,2
CVS,2
CVX,2
DHR,2
DUK,2
ECL,2
ELV,2
EOG,2
EPD,2
EQIX,2
HD,2
KO,2
MCD,2
MET,2
MMM,2
NEE,2
NSC,2
PG,2
PNC,2
SPG,2
SRE,2
TFC,2
TMO,2
TXN,2
ABNB,3
ANET,3
APH,3
APP,3
AVGO,3
C,3
CEG,3
COIN,3
CRWD,3
CVNA,3
DASH,3
DELL,3
GE,3
GEV,3
HOOD,3
HWM,3
IBKR,3
KLAC,3
LRCX,3
MU,3
NET,3
NVDA,3
ORCL,3
PLTR,3
PWR,3
PYPL,3
RBLX,3
RKT,3
SNOW,3
VRT,3
VST,3
WBD,3
WDC,3
AAPL,4
ABBV,4
AJG,4
AXP,4
AZO,4
BKNG,4
BSX,4
BX,4
CDNS,4
COF,4
COST,4
CTAS,4
HLT,4
ISRG,4
JPM,4
KMI,4
MPLX,4
MSFT,4
MSI,4
NOW,4
ORLY,4
PGR,4
PM,4
QCOM,4
RSG,4
RTX,4
SLB,4
SNPS,4
TDG,4
TJX,4
TMUS,4
WMB,4
ADBE,5
ADP,5
AEP,5
AMGN,5
BAC,5
CME,5
CRM,5
DIS,5
FCX,5
GD,5
ICE,5
INTC,5
JNJ,5
LHX,5
LMT,5
LOW,5
MA,5
MCO,5
MMC,5
MNST,5
MO,5
MRK,5
NOC,5
PLD,5
ROST,5
SCHW,5
SHW,5
SPGI,5
SYK,5
UNH,5
UPS,5
V,5
WDAY,5
WM,5
XOM,5
AMT,6
BDX,6
BMY,6
CSX,6
FDX,6
HON,6
ITW,6
MDLZ,6
PEP,6
SBUX,6
UNP,6
USB,6
VZ,6
