number,state,value,latent_dim,hidden1,hidden2,recon_mse,silhouette,calinski,log_calinski,davies,n_clusters_found,noise_ratio,largest_cluster_size,smallest_cluster_size,largest_share,size_ratio,penalty_small_k,penalty_imbalance,penalty_tiny_cluster,objective_value,batch_size,epochs,lr,algo,n_clusters,agglo_linkage,agglo_metric,birch_threshold,birch_branching_factor,dbscan_eps,dbscan_min_samples,dbscan_metric,gmm_covariance_type,gmm_reg_covar,spectral_affinity,spectral_gamma,spectral_n_neighbors
153,TrialState.COMPLETE,6.7986361487868265,14,64,64,0.030913986265659332,0.5828741788864136,895.6235961914062,6.7986361487868265,0.4853992304309332,7.0,0.0,33.0,12.0,0.20625,2.75,0.0,0.0,0.0,6.7986361487868265,128.0,49.0,0.0001716468943967117,gmm,7.0,,,,,,,,spherical,0.0003027929242932633,,,
149,TrialState.COMPLETE,6.79491207151482,14,64,64,0.0310035590082407,0.5778378248214722,892.2907104492188,6.79491207151482,0.4924782165682907,7.0,0.0,32.0,12.0,0.2,2.6666666666666665,0.0,0.0,0.0,6.79491207151482,128.0,51.0,0.00016018160143970462,gmm,7.0,,,,,,,,spherical,0.0009559429429053539,,,
218,TrialState.COMPLETE,6.793949575623237,14,64,64,0.03544141352176666,0.5777212381362915,891.4313354492188,6.793949575623237,0.49326464370993356,7.0,0.0,36.0,12.0,0.225,3.0,0.0,0.0,0.0,6.793949575623237,128.0,54.0,0.000132008105954476,gmm,7.0,,,,,,,,spherical,4.270678589878013e-06,,,
240,TrialState.COMPLETE,6.793213270004954,14,64,64,0.0309975016862154,0.578717052936554,890.7744750976562,6.793213270004954,0.48929328628814694,7.0,0.0,32.0,12.0,0.2,2.6666666666666665,0.0,0.0,0.0,6.793213270004954,128.0,53.0,0.00015275909016305826,gmm,7.0,,,,,,,,spherical,2.344666942140778e-05,,,
883,TrialState.COMPLETE,6.790886673434711,14,64,64,0.03649609908461571,0.5760372877120972,888.7020874023438,6.790886673434711,0.49313030431197136,7.0,0.0,32.0,12.0,0.2,2.6666666666666665,0.0,0.0,0.0,6.790886673434711,128.0,48.0,0.0001495967812182425,gmm,7.0,,,,,,,,spherical,3.385253756120625e-06,,,
224,TrialState.COMPLETE,6.7836572099115635,14,64,64,0.03420044109225273,0.5745587348937988,882.293212890625,6.7836572099115635,0.4934679373559771,7.0,0.0,36.0,12.0,0.225,3.0,0.0,0.0,0.0,6.7836572099115635,128.0,54.0,0.00013601359040904963,gmm,7.0,,,,,,,,spherical,1.8479357584072442e-06,,,
333,TrialState.COMPLETE,6.7768225576658345,14,64,64,0.03549427539110184,0.570806622505188,876.2767944335938,6.7768225576658345,0.49669155371504486,7.0,0.0,32.0,12.0,0.2,2.6666666666666665,0.0,0.0,0.0,6.7768225576658345,128.0,49.0,0.00014882871723821597,gmm,7.0,,,,,,,,spherical,1.7737849883143147e-06,,,
212,TrialState.COMPLETE,6.774697407041498,14,64,64,0.03496348485350609,0.5687468647956848,874.4144287109375,6.774697407041498,0.5008275482647723,7.0,0.0,32.0,12.0,0.2,2.6666666666666665,0.0,0.0,0.0,6.774697407041498,128.0,51.0,0.0001430184577631047,gmm,7.0,,,,,,,,spherical,4.386578184640855e-06,,,
443,TrialState.COMPLETE,6.772176171800844,15,64,64,0.02600601315498352,0.5731583833694458,872.2100830078125,6.772176171800844,0.4941521238952191,7.0,0.0,31.0,12.0,0.19375,2.5833333333333335,0.0,0.0,0.0,6.772176171800844,64.0,48.0,0.00015751617821398178,gmm,7.0,,,,,,,,spherical,0.007249044910204288,,,
438,TrialState.COMPLETE,6.769817498837292,15,64,64,0.026073889806866646,0.574236273765564,870.1528930664062,6.769817498837292,0.4891513839379917,7.0,0.0,32.0,13.0,0.2,2.4615384615384617,0.0,0.0,0.0,6.769817498837292,64.0,52.0,0.00013328224063090678,gmm,7.0,,,,,,,,spherical,0.008702680702798579,,,
258,TrialState.COMPLETE,6.764190319618561,14,64,64,0.03522362560033798,0.5678766965866089,865.2645263671875,6.764190319618561,0.4928534254673976,7.0,0.0,32.0,13.0,0.2,2.4615384615384617,0.0,0.0,0.0,6.764190319618561,128.0,50.0,0.00014681572378678217,gmm,7.0,,,,,,,,spherical,0.0012368657150797545,,,
242,TrialState.COMPLETE,6.761956425486323,14,64,64,0.030452851206064224,0.5688543319702148,863.33154296875,6.761956425486323,0.501984771181838,7.0,0.0,34.0,12.0,0.2125,2.8333333333333335,0.0,0.0,0.0,6.761956425486323,128.0,54.0,0.00015164228826976197,gmm,7.0,,,,,,,,spherical,1.4337096433426945e-05,,,
335,TrialState.COMPLETE,6.761903321261926,14,64,64,0.029566144570708275,0.5676409006118774,863.28564453125,6.761903321261926,0.5003641303306547,7.0,0.0,37.0,14.0,0.23125,2.642857142857143,0.0,0.0,0.0,6.761903321261926,128.0,49.0,0.00017505984188887703,gmm,7.0,,,,,,,,spherical,1.4945134133801078e-06,,,
