number,state,value,latent_dim,hidden1,hidden2,recon_mse,silhouette,calinski,davies,n_clusters_found,noise_ratio,largest_cluster_size,smallest_cluster_size,largest_share,size_ratio,penalty_small_k,penalty_imbalance,penalty_tiny_cluster,objective_value,batch_size,epochs,lr,algo,n_clusters,gmm_covariance_type,gmm_reg_covar,birch_threshold,birch_branching_factor,dbscan_eps,dbscan_min_samples,dbscan_metric,agglo_linkage,agglo_metric,spectral_affinity,spectral_n_neighbors,spectral_gamma
255,TrialState.COMPLETE,1583.205382123396,3,256,32,0.011957465370067562,0.597566545009613,1597.884765625,0.44337824686646865,12.0,0.0,25.0,4.0,0.16025641025641027,6.25,0.0,0.7339691750802005,0.0,1583.205382123396,8.0,107.0,0.00015109025473502967,agglo,12.0,,,,,,,,ward,,,,
259,TrialState.COMPLETE,1543.8741101004687,2,256,32,0.010636341104185262,0.5828498005867004,1555.996826171875,0.4218218665491215,12.0,0.0,22.0,4.0,0.14102564102564102,5.5,0.0,0.6061358035703155,0.0,1543.8741101004687,8.0,113.0,0.00011888144745442533,agglo,12.0,,,,,,,,ward,,,,
286,TrialState.COMPLETE,1542.9825320328289,2,256,32,0.015505597496740029,0.5803509950637817,1561.7479248046875,0.45237969553970564,12.0,0.0,23.0,3.0,0.14743589743589744,7.666666666666667,0.0,0.9382696385929304,0.0,1542.9825320328289,32.0,116.0,0.00011582018823780185,agglo,12.0,,,,,,,,ward,,,,
293,TrialState.COMPLETE,1515.6846105715551,2,256,32,0.015414422689029116,0.5693185329437256,1525.901123046875,0.4590947588508221,12.0,0.0,20.0,4.0,0.1282051282051282,5.0,0.0,0.5108256237659907,0.0,1515.6846105715551,32.0,137.0,0.00011891504232980279,agglo,12.0,,,,,,,,ward,,,,
296,TrialState.COMPLETE,1488.8789929129687,2,256,32,0.015254003721855012,0.569416344165802,1501.001708984375,0.42196798291526855,12.0,0.0,22.0,4.0,0.14102564102564102,5.5,0.0,0.6061358035703155,0.0,1488.8789929129687,32.0,138.0,0.0001236013278668207,agglo,12.0,,,,,,,,ward,,,,
267,TrialState.COMPLETE,1467.7890701418403,2,256,32,0.015577683720091022,0.5655946135520935,1472.516845703125,0.4760363553802842,12.0,0.0,19.0,5.0,0.12179487179487179,3.8,0.0,0.23638877806423034,0.0,1467.7890701418403,32.0,121.0,0.00011807777876973867,agglo,12.0,,,,,,,,ward,,,,
201,TrialState.COMPLETE,1461.9867345949926,2,256,32,0.015634434842264653,0.5594963431358337,1472.2032470703125,0.46094337724680173,12.0,0.0,20.0,4.0,0.1282051282051282,5.0,0.0,0.5108256237659907,0.0,1461.9867345949926,32.0,99.0,0.00013143936225522496,agglo,12.0,,,,,,,,ward,,,,
275,TrialState.COMPLETE,1454.7085435488257,2,256,32,0.015549801938187344,0.5333299040794373,1461.43798828125,0.4621924997033775,12.0,0.0,21.0,5.0,0.1346153846153846,4.2,0.0,0.336472236621213,0.0,1454.7085435488257,32.0,123.0,0.00012728549586807613,agglo,12.0,,,,,,,,ward,,,,
282,TrialState.COMPLETE,1451.1896853531414,2,256,32,0.01571308909879425,0.5811174511909485,1469.955078125,0.43350428579367567,12.0,0.0,23.0,3.0,0.14743589743589744,7.666666666666667,0.0,0.9382696385929304,0.0,1451.1896853531414,32.0,114.0,0.00010002059794846562,agglo,12.0,,,,,,,,ward,,,,
252,TrialState.COMPLETE,1445.4448981182104,2,256,32,0.015658961832851183,0.5339250564575195,1454.844970703125,0.490630716600694,12.0,0.0,24.0,5.0,0.15384615384615385,4.8,0.0,0.47000362924573547,0.0,1445.4448981182104,32.0,98.0,0.00012836946870127257,agglo,12.0,,,,,,,,ward,,,,
241,TrialState.COMPLETE,1428.6145006215447,2,256,32,0.01566496747516061,0.5503559708595276,1531.6680908203125,0.46428586556487145,12.0,0.0,19.0,2.0,0.12179487179487179,9.5,0.0,1.1526795099383853,1.0,1428.6145006215447,32.0,106.0,0.00012760987009682355,agglo,12.0,,,,,,,,ward,,,,
270,TrialState.COMPLETE,1416.6384976331487,2,256,32,0.0155816760030888,0.5352563261985779,1425.1873779296875,0.4808413370133107,12.0,0.0,23.0,5.0,0.14743589743589744,4.6,0.0,0.42744401482693956,0.0,1416.6384976331487,32.0,120.0,0.00012589973643821966,agglo,12.0,,,,,,,,ward,,,,
266,TrialState.COMPLETE,1411.6689167403636,2,256,32,0.015535820035962893,0.5700727701187134,1425.5318603515625,0.441064854424192,12.0,0.0,24.0,4.0,0.15384615384615385,6.0,0.0,0.6931471805599453,0.0,1411.6689167403636,32.0,116.0,0.00011660694804434718,agglo,12.0,,,,,,,,ward,,,,
116,TrialState.COMPLETE,1405.6560175462937,2,256,32,0.015697459823931472,0.5497628450393677,1509.7354736328125,0.44616266581693226,12.0,0.0,20.0,2.0,0.1282051282051282,10.0,0.0,1.2039728043259361,1.0,1405.6560175462937,32.0,120.0,0.00011362868149865356,agglo,12.0,,,,,,,,ward,,,,
177,TrialState.COMPLETE,1405.17166934103,2,128,64,0.014804890140677983,0.5901364088058472,1510.2269287109375,0.42590806966068767,12.0,0.0,21.0,2.0,0.1346153846153846,10.5,0.0,1.252762968495368,1.0,1405.17166934103,32.0,103.0,0.00014488700570434028,agglo,12.0,,,,,,,,ward,,,,
13,TrialState.COMPLETE,1402.6734736009812,2,256,32,0.015849133007438173,0.5869470238685608,1506.7529296875,0.4397684575591814,12.0,0.0,20.0,2.0,0.1282051282051282,10.0,0.0,1.2039728043259361,1.0,1402.6734736009812,32.0,102.0,0.00010098838632573882,agglo,12.0,,,,,,,,ward,,,,
