Company,Cluster
APH,0
GE,0
IBKR,0
NEM,0
ORCL,0
PWR,0
RCL,0
AAPL,1
AFL,1
AJG,1
AMAT,1
AZO,1
BKNG,1
BSX,1
BX,1
CDNS,1
CMG,1
CMI,1
COST,1
CTAS,1
GOOG,1
ISRG,1
MSFT,1
MSI,1
ORLY,1
PGR,1
QCOM,1
RSG,1
RTX,1
SNPS,1
TDG,1
TJX,1
TMUS,1
ADI,2
ADP,2
AMZN,2
BAC,2
BLK,2
BRK-B,2
COF,2
COP,2
DE,2
DHR,2
EMR,2
ET,2
ICE,2
INTU,2
LOW,2
MA,2
MAR,2
MCO,2
MMC,2
SO,2
SPGI,2
SYK,2
TRV,2
VRTX,2
WM,2
XOM,2
AMD,3
AXP,3
CAT,3
COR,3
JPM,3
LLY,3
MCK,3
MRVL,3
SCCO,3
WELL,3
WMT,3
ABT,4
ADBE,4
ADSK,4
AEP,4
AMGN,4
AMT,4
APD,4
CI,4
CME,4
CRM,4
CSCO,4
CSX,4
CVX,4
DLR,4
DUK,4
ECL,4
ELV,4
EQIX,4
FI,4
GD,4
HD,4
HON,4
ITW,4
JNJ,4
KO,4
LHX,4
LMT,4
MCD,4
MDLZ,4
MNST,4
MRK,4
NEE,4
NKE,4
NOC,4
NSC,4
PEP,4
PG,4
PLD,4
PNC,4
REGN,4
SBUX,4
SCHW,4
SHW,4
SRE,4
TMO,4
TXN,4
UNH,4
UNP,4
AXON,5
C,5
ALNY,6
BK,6
IBM,6
LRCX,6
MS,6
MU,6
PH,6
URI,6
WMB,6
MSTR,7
NVDA,7
BA,8
BMY,8
CL,8
CMCSA,8
CVS,8
DIS,8
EOG,8
EPD,8
F,8
FCX,8
FDX,8
GILD,8
INTC,8
MMM,8
MO,8
O,8
PFE,8
SPG,8
T,8
TFC,8
UPS,8
USB,8
VZ,8
WFC,8
GLW,9
GS,9
KLAC,9
NFLX,9
