A,B,abs_corr,corr
HD,LOW,0.9366495889518995,0.9366495889518995
COP,EOG,0.931066159056982,0.931066159056982
PNC,TFC,0.931056521337413,0.931056521337413
MA,V,0.9289530517321741,0.9289530517321741
PNC,USB,0.9253898623737378,0.9253898623737378
GS,MS,0.9213462719281724,0.9213462719281724
KLAC,LRCX,0.9202269792941983,0.9202269792941983
MCO,SPGI,0.9174767587956615,0.9174767587956615
BX,KKR,0.9123648989598075,0.9123648989598075
TFC,USB,0.9077740177431989,0.9077740177431989
AMAT,KLAC,0.905641081911486,0.905641081911486
HLT,MAR,0.898705156912533,0.898705156912533
AMAT,LRCX,0.897748435535385,0.897748435535385
APO,KKR,0.8957746937816157,0.8957746937816157
CVX,XOM,0.8947139670164175,0.8947139670164175
COP,CVX,0.8928682129401077,0.8928682129401077
COP,XOM,0.8872813014872076,0.8872813014872076
JPM,MS,0.8863449271486996,0.8863449271486996
AXP,TFC,0.8834131138196525,0.8834131138196525
GS,JPM,0.8783949572875104,0.8783949572875104
DUK,SO,0.8783359864714405,0.8783359864714405
DHR,TMO,0.876409313260809,0.876409313260809
BAC,MS,0.8731726594669605,0.8731726594669605
COF,TFC,0.8726545753148652,0.8726545753148652
EOG,XOM,0.8711637104092856,0.8711637104092856
BAC,C,0.8690086497251941,0.8690086497251941
BAC,WFC,0.8677535388399696,0.8677535388399696
CVX,EOG,0.8672766328110425,0.8672766328110425
AXP,COF,0.8670410032229643,0.8670410032229643
C,MS,0.8655402596164314,0.8655402596164314
