A,B,abs_corr,corr
HD,LOW,0.9221461187214612,0.9221461187214612
PNC,TFC,0.88181782396473,0.88181782396473
RSG,WM,0.8756416312391749,0.8756416312391749
PNC,USB,0.874051330499134,0.874051330499134
MCO,SPGI,0.8728113682884585,0.8728113682884585
COP,EOG,0.8668201857975122,0.8668201857975122
BX,KKR,0.8618249094630767,0.8618249094630767
GS,MS,0.8613682884585104,0.8613682884585104
HLT,MAR,0.857223271925681,0.857223271925681
DUK,SO,0.8526767438198709,0.8526767438198709
COR,MCK,0.8481813887576759,0.8481813887576759
CVX,XOM,0.8420917965674697,0.8420917965674697
MA,V,0.8415958116831995,0.8415958116831995
DHR,TMO,0.8391276964257597,0.8391276964257597
AEP,DUK,0.8358691897630305,0.8358691897630305
AMAT,KLAC,0.8347858604944103,0.8347858604944103
AMAT,LRCX,0.8335222799559124,0.8335222799559124
COP,XOM,0.8293811998110534,0.8293811998110534
KMI,WMB,0.8282387721023301,0.8282387721023301
BAC,WFC,0.8282306213893766,0.8282306213893766
KLAC,LRCX,0.8281333648244371,0.8281333648244371
AEP,SO,0.8233711456577221,0.8233711456577221
AZO,ORLY,0.8178712013856085,0.8178712013856085
COP,CVX,0.8159659896079358,0.8159659896079358
JPM,MS,0.8138797039836246,0.8138797039836246
TFC,USB,0.8099669343410486,0.8099669343410486
AXP,TFC,0.8053574240277122,0.8053574240277122
EOG,XOM,0.8052747598803338,0.8052747598803338
FDX,UPS,0.8003818296331286,0.8003818296331286
CEG,VST,0.7955912454731539,0.7955912454731539
