Company,Cluster
AMZN,0
AXP,0
CAT,0
COR,0
GOOG,0
GS,0
JPM,0
MA,0
MCO,0
MRVL,0
MS,0
NDAQ,0
ORCL,0
PCAR,0
SCCO,0
TMUS,0
WM,0
C,1
F,1
FCX,1
GE,1
NEM,1
SLB,1
SPG,1
WBD,1
WDC,1
CDNS,2
LLY,2
NVDA,2
PWR,2
BA,3
BMY,3
CL,3
CMCSA,3
CVS,3
DIS,3
EOG,3
EPD,3
ET,3
FDX,3
GILD,3
INTC,3
MET,3
MMM,3
MO,3
NKE,3
PFE,3
REGN,3
T,3
TFC,3
UPS,3
USB,3
VZ,3
WFC,3
XOM,3
ABT,4
ALL,4
BK,4
BKNG,4
BLK,4
DHR,4
HD,4
MCD,4
RCL,4
SCHW,4
TMO,4
TXN,4
WELL,4
AAPL,5
AJG,5
AMAT,5
AMD,5
LRCX,5
MSI,5
ORLY,5
PH,5
ADI,6
ADP,6
AFL,6
BRK-B,6
IDXX,6
LOW,6
MAR,6
MMC,6
MU,6
QCOM,6
SHW,6
SPGI,6
SYK,6
TJX,6
VRTX,6
ADBE,7
AMGN,7
COP,7
CRM,7
CSCO,7
ELV,7
EMR,7
EQIX,7
GD,7
IBM,7
LHX,7
LMT,7
MNST,7
NOC,7
NSC,7
PG,7
ROST,7
UNH,7
UNP,7
APH,8
AZO,8
BSX,8
DE,8
INTU,8
ISRG,8
MCK,8
NFLX,8
RSG,8
WMT,8
AEP,9
AMT,9
BAC,9
BDX,9
CI,9
COF,9
CVX,9
DUK,9
ECL,9
HON,9
JNJ,9
KO,9
MDLZ,9
MRK,9
PEP,9
PLD,9
PNC,9
RTX,9
SBUX,9
SRE,9
COST,10
CTAS,10
KLAC,10
MSFT,10
PGR,10
SNPS,10
ADSK,11
CME,11
CMI,11
CSX,11
GLW,11
ITW,11
NEE,11
SO,11
TRV,11
WMB,11
