unique_id,ds,NHITS
AAPL,2026-05-01,298.35022
AAPL,2026-06-01,304.00092
AAPL,2026-07-01,307.5384
AAPL,2026-08-01,313.6354
AAPL,2026-09-01,320.0354
AAPL,2026-10-01,330.21066
AAPL,2026-11-01,337.84863
AAPL,2026-12-01,341.87665
ABBV,2026-05-01,242.59506
ABBV,2026-06-01,245.5824
ABBV,2026-07-01,247.90799
ABBV,2026-08-01,251.31825
ABBV,2026-09-01,255.47101
ABBV,2026-10-01,262.2765
ABBV,2026-11-01,264.69476
ABBV,2026-12-01,266.21658
ABNB,2026-05-01,145.26717
ABNB,2026-06-01,146.74344
ABNB,2026-07-01,150.99838
ABNB,2026-08-01,154.45284
ABNB,2026-09-01,154.20552
ABNB,2026-10-01,156.81535
ABNB,2026-11-01,159.7427
ABNB,2026-12-01,162.97531
ABT,2026-05-01,130.1292
ABT,2026-06-01,130.96799
ABT,2026-07-01,132.60591
ABT,2026-08-01,134.01685
ABT,2026-09-01,135.30339
ABT,2026-10-01,136.43803
ABT,2026-11-01,137.76207
ABT,2026-12-01,138.74472
ADBE,2026-05-01,375.02756
ADBE,2026-06-01,381.74396
ADBE,2026-07-01,391.09097
ADBE,2026-08-01,397.8436
ADBE,2026-09-01,397.6747
ADBE,2026-10-01,403.632
ADBE,2026-11-01,415.02545
ADBE,2026-12-01,421.07306
ADI,2026-05-01,306.03955
ADI,2026-06-01,313.49152
ADI,2026-07-01,324.11832
ADI,2026-08-01,334.24164
ADI,2026-09-01,337.20663
ADI,2026-10-01,340.47733
ADI,2026-11-01,350.27283
ADI,2026-12-01,355.78543
ADP,2026-05-01,268.47797
ADP,2026-06-01,272.53766
ADP,2026-07-01,280.03787
ADP,2026-08-01,285.43893
ADP,2026-09-01,288.44705
ADP,2026-10-01,292.39264
ADP,2026-11-01,297.20728
ADP,2026-12-01,301.7886
ADSK,2026-05-01,320.1163
ADSK,2026-06-01,326.433
ADSK,2026-07-01,333.0214
ADSK,2026-08-01,341.02286
ADSK,2026-09-01,345.9065
ADSK,2026-10-01,350.59653
ADSK,2026-11-01,358.72034
ADSK,2026-12-01,361.87003
AEP,2026-05-01,121.940544
AEP,2026-06-01,122.647995
AEP,2026-07-01,123.95464
AEP,2026-08-01,125.70746
AEP,2026-09-01,127.268425
AEP,2026-10-01,130.2212
AEP,2026-11-01,131.54765
AEP,2026-12-01,133.63634
AFL,2026-05-01,116.15388
AFL,2026-06-01,117.18089
AFL,2026-07-01,117.85545
AFL,2026-08-01,118.92428
AFL,2026-09-01,120.72546
AFL,2026-10-01,122.96348
AFL,2026-11-01,124.75309
AFL,2026-12-01,125.28346
AJG,2026-05-01,273.9965
AJG,2026-06-01,280.9783
AJG,2026-07-01,291.82953
AJG,2026-08-01,298.80313
AJG,2026-09-01,307.91162
AJG,2026-10-01,311.5056
AJG,2026-11-01,320.33105
AJG,2026-12-01,328.0259
ALL,2026-05-01,219.79315
ALL,2026-06-01,222.67004
ALL,2026-07-01,226.1753
ALL,2026-08-01,230.82579
ALL,2026-09-01,233.77391
ALL,2026-10-01,237.60542
ALL,2026-11-01,243.22757
ALL,2026-12-01,244.06812
AMAT,2026-05-01,302.09628
AMAT,2026-06-01,313.35315
AMAT,2026-07-01,328.38397
AMAT,2026-08-01,339.9378
AMAT,2026-09-01,344.8822
AMAT,2026-10-01,359.81653
AMAT,2026-11-01,375.4025
AMAT,2026-12-01,387.6738
AMD,2026-05-01,264.71542
AMD,2026-06-01,267.89734
AMD,2026-07-01,283.6327
AMD,2026-08-01,299.01727
AMD,2026-09-01,308.6275
AMD,2026-10-01,324.88553
AMD,2026-11-01,333.445
AMD,2026-12-01,348.40485
AMGN,2026-05-01,357.3593
AMGN,2026-06-01,362.89105
AMGN,2026-07-01,373.03073
AMGN,2026-08-01,380.791
AMGN,2026-09-01,384.73596
AMGN,2026-10-01,394.5192
AMGN,2026-11-01,403.09286
AMGN,2026-12-01,416.50708
AMT,2026-05-01,180.14204
AMT,2026-06-01,182.7537
AMT,2026-07-01,186.30365
AMT,2026-08-01,190.08578
AMT,2026-09-01,191.53659
AMT,2026-10-01,195.7574
AMT,2026-11-01,198.59737
AMT,2026-12-01,200.76263
AMZN,2026-05-01,252.20149
AMZN,2026-06-01,255.2703
AMZN,2026-07-01,259.631
AMZN,2026-08-01,268.69
AMZN,2026-09-01,274.0757
AMZN,2026-10-01,275.40054
AMZN,2026-11-01,279.50217
AMZN,2026-12-01,283.51117
ANET,2026-05-01,152.61624
ANET,2026-06-01,155.72043
ANET,2026-07-01,159.76587
ANET,2026-08-01,166.16086
ANET,2026-09-01,173.4064
ANET,2026-10-01,180.31982
ANET,2026-11-01,180.58405
ANET,2026-12-01,185.83786
APH,2026-05-01,153.87596
APH,2026-06-01,158.68665
APH,2026-07-01,163.52016
APH,2026-08-01,170.6491
APH,2026-09-01,175.40614
APH,2026-10-01,178.44186
APH,2026-11-01,184.28458
APH,2026-12-01,186.50523
APO,2026-05-01,160.1445
APO,2026-06-01,163.48285
APO,2026-07-01,168.98701
APO,2026-08-01,175.2797
APO,2026-09-01,176.9683
APO,2026-10-01,181.8363
APO,2026-11-01,187.51553
APO,2026-12-01,191.76782
APP,2026-05-01,824.4009
APP,2026-06-01,857.04126
APP,2026-07-01,885.8749
APP,2026-08-01,912.1146
APP,2026-09-01,931.65234
APP,2026-10-01,984.24963
APP,2026-11-01,1018.61865
APP,2026-12-01,1038.8394
ARES,2026-05-01,184.66919
ARES,2026-06-01,187.62735
ARES,2026-07-01,196.47958
ARES,2026-08-01,205.11784
ARES,2026-09-01,208.07814
ARES,2026-10-01,212.18307
ARES,2026-11-01,219.08984
ARES,2026-12-01,226.14471
AVGO,2026-05-01,394.64935
AVGO,2026-06-01,408.55722
AVGO,2026-07-01,421.22656
AVGO,2026-08-01,441.98358
AVGO,2026-09-01,457.01813
AVGO,2026-10-01,463.73468
AVGO,2026-11-01,477.6494
AVGO,2026-12-01,482.70123
AXP,2026-05-01,415.8316
AXP,2026-06-01,427.96014
AXP,2026-07-01,440.25467
AXP,2026-08-01,451.9651
AXP,2026-09-01,459.14374
AXP,2026-10-01,465.76666
AXP,2026-11-01,481.66046
AXP,2026-12-01,487.2435
AZO,2026-05-01,3771.3132
AZO,2026-06-01,3781.3796
AZO,2026-07-01,3821.7195
AZO,2026-08-01,3903.9126
AZO,2026-09-01,4009.2954
AZO,2026-10-01,4089.942
AZO,2026-11-01,4040.4873
AZO,2026-12-01,4088.5156
BA,2026-05-01,237.93816
BA,2026-06-01,240.5069
BA,2026-07-01,247.24689
BA,2026-08-01,256.6252
BA,2026-09-01,260.00336
BA,2026-10-01,264.5582
BA,2026-11-01,266.66833
BA,2026-12-01,274.94138
BAC,2026-05-01,60.7406
BAC,2026-06-01,62.336975
BAC,2026-07-01,63.81192
BAC,2026-08-01,65.84659
BAC,2026-09-01,67.04922
BAC,2026-10-01,67.59122
BAC,2026-11-01,69.47978
BAC,2026-12-01,69.9863
BDX,2026-05-01,219.32126
BDX,2026-06-01,219.73993
BDX,2026-07-01,222.83154
BDX,2026-08-01,225.78468
BDX,2026-09-01,230.313
BDX,2026-10-01,233.85251
BDX,2026-11-01,238.26054
BDX,2026-12-01,241.55098
BK,2026-05-01,126.272934
BK,2026-06-01,128.333
BK,2026-07-01,130.993
BK,2026-08-01,135.09859
BK,2026-09-01,138.19911
BK,2026-10-01,139.54605
BK,2026-11-01,141.70432
BK,2026-12-01,142.77396
BKNG,2026-05-01,5876.1284
BKNG,2026-06-01,5936.045
BKNG,2026-07-01,6094.267
BKNG,2026-08-01,6289.1904
BKNG,2026-09-01,6354.201
BKNG,2026-10-01,6421.8623
BKNG,2026-11-01,6541.4453
BKNG,2026-12-01,6638.746
BLK,2026-05-01,1145.7284
BLK,2026-06-01,1157.1707
BLK,2026-07-01,1169.3541
BLK,2026-08-01,1207.9082
BLK,2026-09-01,1233.3472
BLK,2026-10-01,1251.2701
BLK,2026-11-01,1259.8782
BLK,2026-12-01,1270.9764
BMY,2026-05-01,58.09698
BMY,2026-06-01,59.36788
BMY,2026-07-01,60.89726
BMY,2026-08-01,62.360523
BMY,2026-09-01,62.707977
BMY,2026-10-01,64.39587
BMY,2026-11-01,66.03229
BMY,2026-12-01,68.359436
BRK-B,2026-05-01,521.87756
BRK-B,2026-06-01,530.2192
BRK-B,2026-07-01,532.3937
BRK-B,2026-08-01,536.36707
BRK-B,2026-09-01,543.21
BRK-B,2026-10-01,551.0678
BRK-B,2026-11-01,559.397
BRK-B,2026-12-01,563.833
BSX,2026-05-01,100.11821
BSX,2026-06-01,100.70414
BSX,2026-07-01,102.32377
BSX,2026-08-01,103.75571
BSX,2026-09-01,104.49444
BSX,2026-10-01,105.95482
BSX,2026-11-01,106.3455
BSX,2026-12-01,108.30627
BX,2026-05-01,168.16144
BX,2026-06-01,168.35033
BX,2026-07-01,170.76347
BX,2026-08-01,178.67892
BX,2026-09-01,184.55017
BX,2026-10-01,190.38354
BX,2026-11-01,194.33716
BX,2026-12-01,197.47789
C,2026-05-01,128.27866
C,2026-06-01,130.92062
C,2026-07-01,134.55452
C,2026-08-01,140.50035
C,2026-09-01,144.55138
C,2026-10-01,146.1631
C,2026-11-01,149.70091
C,2026-12-01,151.36252
CAT,2026-05-01,659.5597
CAT,2026-06-01,677.96576
CAT,2026-07-01,702.89453
CAT,2026-08-01,728.75354
CAT,2026-09-01,741.7868
CAT,2026-10-01,766.44666
CAT,2026-11-01,789.01855
CAT,2026-12-01,808.7339
CDNS,2026-05-01,347.77835
CDNS,2026-06-01,352.09644
CDNS,2026-07-01,358.87387
