,RMSE,MAE
AAPL,20.32895244549592,17.523616696192214
ABBV,14.310105975645424,11.142456811321665
ABNB,31.781917270433272,26.572696275947507
ABT,6.664421954819976,5.6511290368955
ADBE,262.232106311033,231.1390008427223
ADI,19.408514869725295,14.699351791507942
ADP,19.520251722326275,16.020339545467998
ADSK,22.34253852530108,18.30604229551373
AEP,11.995014294715975,10.2216561267527
AFL,13.882166446838328,11.351625111477434
AJG,43.440158558465235,36.33922486528549
ALL,29.95086211296579,27.888845816788265
AMAT,33.96908461579544,28.573734188867995
AMD,56.59177430201409,44.23370615641276
AMGN,34.151414362895515,26.434877001549587
AMT,41.449103869433856,36.891192895978605
AMZN,24.67083713900576,20.243414718585896
ANET,23.923897619615108,19.84371766439811
APH,12.960569835759355,11.058979559864223
APO,27.59921245600601,21.122554116997836
APP,182.03287307830266,133.79166862130492
ARES,25.304645309520318,20.53973449622961
AVGO,48.38775979280245,38.726366552768006
AXP,51.502260967986494,45.530733260898224
AZO,448.91899235314327,395.1652979995265
BA,151.46045215477392,143.46578092548802
BAC,3.321053817494579,2.630791687768353
BDX,44.99952350130251,37.45701653766895
BK,15.783497881021711,12.889208339134195
BKNG,545.6963502238,404.3746374881629
BLK,67.85159662372172,57.69810195796746
BMY,5.190939234449459,4.121501323605372
BRK-B,76.82368716529011,69.3222909302094
BSX,25.941610889941487,22.99617550852542
BX,19.83075481186925,16.613524423814674
C,9.876946023629674,8.359585859230398
CAT,42.21417296804471,31.135127296132488
CDNS,30.460203597474024,23.65596315157972
CEG,96.314600879534,84.95778632886481
CI,29.8357782398316,25.405281592334926
CL,9.986184140231106,7.8100149191443915
CMCSA,7.952263852245505,6.888533400438377
CME,18.61718717784082,14.05372316975239
CMI,58.16630576270912,49.324254648087766
COF,14.931891920304762,10.79274606836072
COIN,52.076884742760456,44.87871686026413
COP,25.1911350507181,20.712327121703094
COR,20.959379860987962,17.06414420808314
COST,182.3723062990517,163.4476452872116
CRM,38.272257735341285,32.02158219098388
CRWD,64.82969700443672,54.87859106983363
CSCO,4.4927798189514006,3.8799483769524525
CSX,5.5460626706324785,4.483082080347151
CTAS,32.38893729481523,27.783130235908445
CVNA,109.13193472643998,90.11246185723087
CVS,20.807224360270283,18.75972584916212
CVX,19.696258980240607,15.711012280676975
DASH,41.148184854846306,33.1985828410167
DE,41.27297859257376,34.54342466412169
DELL,31.84236355837198,26.237097706019714
DHR,61.99961205133443,42.50041165102284
DIS,11.551553523099466,9.547731951248547
DUK,10.190233540417113,8.600848720750205
ECL,20.848406386486655,18.570528687196
ELV,83.42135174594316,68.58487089803396
EMR,8.885848712354209,7.109116966730964
EOG,13.125157126989935,10.101119238483019
EPD,4.0823191010969975,3.485370262923648
EQIX,62.65599406721435,50.670944676254734
ET,3.377090560197306,2.9016729649105018
F,2.464630514493671,2.0487892108843675
FCX,12.06045928556507,9.572325956066122
FDX,32.90787486264259,23.63037584373117
FTNT,17.697636484756217,14.279675034452076
GD,20.39715888431194,18.545323815884345
GE,67.1678934290621,60.99707186780357
GILD,14.68018784083052,12.37007526786531
GLW,10.407319615722809,8.783426484457388
GM,6.947601020943662,5.938076376586578
GOOG,17.879626628397897,13.950744250589166
GS,91.98208824771254,73.8396737595235
HCA,51.545894046594185,42.52700713186553
HD,36.88436921410165,27.372766079653065
HLT,30.564021948353172,26.220606443967373
HON,14.452816011065073,12.172075171772773
HOOD,20.36990882887846,15.001769501972461
HWM,47.62581343021552,39.504487208426816
IBKR,14.82821086485075,12.31030843014888
IBM,43.14095548145879,35.09136958687102
ICE,14.254736728805737,11.627721255804225
IDXX,216.7273397195343,187.86053466796875
INTC,30.987169584980734,28.448881422520998
INTU,88.27888610900064,70.5894729992575
ISRG,102.9750936822289,90.16529001283251
ITW,35.81894255426601,31.075489937438125
JNJ,14.09884123930849,11.879002846962164
JPM,39.06546495309465,33.26725924573326
KKR,29.839427760797435,24.072249819752926
KLAC,88.63662950346418,71.34248188113378
KMI,5.760424645829367,4.583552158240116
KO,4.769545617329959,3.660662932172623
LHX,19.567537940362637,14.015747700840974
LLY,166.62017081024473,147.46491941341685
LMT,47.45350765268291,35.144414812408534
LOW,26.773206967808385,18.833390711424435
LRCX,17.215360328632936,15.203652090277554
MA,52.592865844362734,43.73613846203512
MAR,20.002266051000912,16.176861345275373
MCD,31.09755630162548,28.042653275587014
MCK,96.82465001304088,81.61718405311102
MCO,29.043779133685955,24.15743783157391
MDLZ,11.296582241163696,9.37068431633563
MET,4.878775419295636,3.602111995055984
META,147.63805817663032,135.89700359418043
MMC,20.626797596784165,18.441144748824357
MMM,23.56832733616975,19.80652883230162
MNST,10.894332386198789,9.763150459478709
MO,11.955119749540737,10.075964231464816
MPLX,10.013259642668162,8.565271929275891
MRK,18.37736841996164,15.796033349575747
MRVL,17.717248506447785,12.799285752057372
MS,11.72700466690657,8.550904770527989
MSFT,30.705872742076743,23.132258896000128
MSI,78.40028593294888,66.27931528643143
MU,20.161738252420342,14.626406709024728
NDAQ,10.055924759830685,7.993172900407439
NEE,8.979434154123185,7.101710600629654
NEM,6.020886068636856,4.971090963064146
NET,20.73898432878911,16.012509474741197
NFLX,24.62330565588748,19.821431204635577
NKE,45.75502198342455,40.65019273363854
NOC,36.35304191962333,30.11089230371901
NOW,24.02858224295167,18.06198931397157
NSC,34.65848065493162,28.025931786571324
NVDA,54.90511653747089,50.95929050708277
ORCL,32.49683911236153,26.10866988000791
ORLY,12.961860060915571,11.045625870549646
PANW,12.969932213847594,10.229526320108041
PCAR,10.693112003254097,8.402672990951329
PEP,21.95592577837682,15.238274566398179
PFE,3.8040962108359717,2.94824196156063
PG,12.049474410340169,10.862061597755789
PGR,67.7597325782892,62.17552693684896
PH,85.66704661467057,73.28863256365143
PLD,34.6202147810028,29.502040474211217
PLTR,43.76707997468287,30.03182338683073
PM,35.75342835439425,26.665551976395705
PNC,15.349574488793383,12.548882014166882
PWR,35.16579479954871,30.631431558572228
PYPL,8.126446875935745,6.5134915858917655
QCOM,25.468925639413182,19.40337012424942
RBLX,13.960216504532005,12.62093593923185
RCL,41.52854843416703,30.29474541109784
REGN,266.55732372395494,201.76704822887075
RKT,6.742670569163156,5.556503085722279
ROST,13.618979792551482,10.12860336513887
RSG,33.174277484431464,28.802096406290353
RTX,20.026102458024592,17.679946731273137
SBUX,16.15565211014045,13.514871959843912
SCCO,14.653095444144268,12.377514337376786
SCHW,12.098116148578555,10.43096958507191
SHW,29.991303325216034,24.658971192751377
SLB,21.499336301291518,18.992634418582128
