,RMSE,MAE
AAPL,20.237178996862813,17.553020835581407
ABBV,14.203962689345401,11.067308120306024
ABNB,30.69841319671613,25.825003481701593
ABT,6.714989453178436,5.72996107912854
ADBE,252.996695237255,221.9532855966473
ADI,19.481668512841626,14.744546247450685
ADP,18.16381103363869,15.054099910167041
ADSK,22.648720007086876,18.55464244020578
AEP,11.851711174859513,10.070949027551471
AFL,13.979950303178164,11.443778275126252
AJG,44.760629926814865,37.453515574418375
ALL,30.318408161068287,28.191063812424463
AMAT,34.02648020846635,28.573972480731776
AMD,56.50396057744214,44.12487348271997
AMGN,35.92071848052878,27.592901577607044
AMT,41.98075913664915,37.36373488283947
AMZN,25.032427121108025,20.53570223644952
ANET,24.254442223034538,20.164573764274135
APH,12.67520335732018,10.834331923426845
APO,26.777933432443437,20.19271772605938
APP,181.38147741474458,133.11137812704013
ARES,25.814728546612454,21.02686375149047
AVGO,47.999586599593655,38.42756682337977
AXP,50.941046831428686,44.99551501195075
AZO,429.21259149308946,376.87561844462186
BA,153.04931146121703,144.937316262261
BAC,3.285516396123197,2.5989349323083024
BDX,44.5613601432172,37.2445486500777
BK,15.51113313936557,12.634967192760488
BKNG,545.6869902631043,403.7844575492058
BLK,69.21263130200252,58.760443081513294
BMY,5.273291777109686,4.156428848182299
BRK-B,76.71104745273729,69.13689409962016
BSX,25.942055123388016,22.998276578787284
BX,19.311419911384675,16.385642857841365
C,9.706861994650849,8.193267980333191
CAT,39.84855456760113,29.83150714010165
CDNS,30.587194481210698,23.77177302745166
CEG,95.95889991380183,84.6121080303719
CI,29.453507143272393,25.198140012625174
CL,9.943194776190115,7.78624837042877
CMCSA,8.040669551972643,6.9671257819918635
CME,18.909523115859116,14.405474120082118
CMI,57.95013308163795,49.12108692148114
COF,14.75715199892739,10.691124236386125
COIN,51.857659266484404,44.48824299764897
COP,25.24763475025661,20.847630095086704
COR,20.851135538518246,17.02041398359267
COST,181.35596762056787,162.51262601567896
CRM,38.38518795819778,32.12643984799885
