,RMSE,MAE
AAPL,6.968569926111173,6.150889805385051
ABBV,10.832027772191552,9.995062691824776
ABNB,7.172242925586489,5.823615482875279
ABT,2.979770675176674,2.6695853642054965
ADBE,16.89911097686863,13.778313773018974
ADI,8.459837474392682,7.659737723214292
ADP,6.531854996385568,4.318975176130024
ADSK,10.543160441862412,9.470361982073099
AEP,3.2611138072632855,2.9694600786481584
AFL,3.108118265872083,2.1536669049944197
AJG,5.922511035834968,4.818508148193358
ALL,12.317093013983701,11.84698213849749
AMAT,9.196036932377405,7.994322640555246
AMD,19.222430607416406,16.66690172467913
AMGN,17.643581905912303,16.079708644321986
AMT,16.542108913086953,14.06216212681362
AMZN,8.915136083363812,6.554568154471261
ANET,5.916022849210994,5.328536714826312
APH,1.5512714634469364,1.436527933393206
APO,6.582310766950782,5.332410539899556
APP,3.146812454997,2.5055554253714414
ARES,5.3951854153895695,3.844652175903324
AVGO,7.812611112760659,7.046618597848075
AXP,11.244930804577132,8.314335959298269
AZO,129.48724493365955,114.16006905691964
BA,47.90624357910348,45.44689178466797
BAC,0.9198053173508324,0.7537102018083849
BDX,8.598470083723285,7.975905282156806
BK,2.526812316355332,2.2213283266339987
BKNG,92.58734357474725,75.08185686383929
BLK,27.265583333605953,26.119277954101562
BMY,1.5712531138960348,1.3940151759556356
BRK-B,21.77592652547226,18.099995204380587
BSX,3.9091339782402064,3.2020878110613142
BX,8.772887928775708,8.208992549351285
C,2.258408331278369,1.9308730534144816
CAT,13.553713217668117,11.336515154157363
CDNS,17.486555092438657,15.839969090053012
CEG,5.970251101172166,4.704544884817941
CI,10.248115419396592,7.712000165666849
CL,2.4907783449296224,1.8524415152413505
CMCSA,1.3882560664330363,1.0753701073782795
CME,8.767490806818307,8.289184570312496
CMI,5.086028615918619,3.963103703090123
COF,3.3646012920745534,2.8208435603550512
COIN,43.18319333937681,41.014042718069895
COP,5.877853128030952,5.315875462123324
COR,16.652690447192537,14.585073743547708
COST,32.2777439588291,27.731957571847097
CRM,15.512597214527753,13.906890869140625
CRWD,36.63107381502844,33.057410103934146
CSCO,0.8545708635405905,0.6993664332798544
CSX,0.9930317586560147,0.6631920678274972
