number,state,value,latent_dim,hidden_dim,n_layers,dropout,batch_size,n_epochs,lr,best_val_mse,recon_mse,median_signal_share,mean_signal_share,median_top1_period,valid_ratio,objective_value
16,TrialState.COMPLETE,0.19485856913592023,20,256,3,0.08987839518799273,512,10,0.00025214295003060384,0.016288209040088097,0.014503412675037682,0.19485856913592023,0.20676243175865658,301.46666666666664,1.0,0.19485856913592023
26,TrialState.COMPLETE,0.19444807855396165,17,256,3,0.21518043220478458,1024,13,0.0015120863301352184,0.02142532770823446,0.020108562374181384,0.19444807855396165,0.2050695131805555,301.46666666666664,1.0,0.19444807855396165
32,TrialState.COMPLETE,0.19342424883095904,13,256,3,0.19244546851320504,1024,10,0.0016665939097730868,0.01788531310007097,0.016001591994712967,0.19342424883095904,0.20301403949790203,301.46666666666664,1.0,0.19342424883095904
19,TrialState.COMPLETE,0.19152173704993314,21,256,2,0.16130806089745578,1024,12,0.0002790631500274694,0.009832174296527699,0.00818375162106387,0.19152173704993314,0.2031330654149745,301.46666666666664,1.0,0.19152173704993314
9,TrialState.COMPLETE,0.1911828729095597,9,64,1,0.09117406501677668,2048,10,0.001050738402418141,0.004748231592904111,0.0035991205201892427,0.1911828729095597,0.19890611662137805,301.46666666666664,1.0,0.1911828729095597
8,TrialState.COMPLETE,0.19082719063378467,30,256,3,0.06448851490160178,512,19,0.004048966222584676,0.01275819360019753,0.010700252464721538,0.19082719063378467,0.20218653929890343,301.46666666666664,1.0,0.19082719063378467
33,TrialState.COMPLETE,0.19069844024238097,12,256,3,0.19633501265586453,1024,15,0.0025179864743555052,0.008636299694097675,0.0068398553029318035,0.19069844024238097,0.20329783569491636,301.46666666666664,1.0,0.19069844024238097
12,TrialState.COMPLETE,0.1903091245073772,25,256,3,0.062443676566598105,512,17,0.0013743174129322337,0.00561773549903958,0.004519654080968089,0.1903091245073772,0.19876314531713596,301.4333333333333,1.0,0.1903091245073772
14,TrialState.COMPLETE,0.19008708487883835,6,256,3,0.06518774028822148,1024,18,0.0005160757697479007,0.006558934887854396,0.00546310243736537,0.19008708487883835,0.1985719951911789,301.4333333333333,1.0,0.19008708487883835
4,TrialState.COMPLETE,0.18988950218612743,31,256,2,0.13013213230530574,2048,13,0.0003646439558980723,0.009549027380333946,0.00784719798718388,0.18988950218612743,0.2023380332893055,301.4333333333333,1.0,0.18988950218612743
