number,state,value,latent_dim,hidden_dim,n_layers,dropout,batch_size,n_epochs,lr,best_val_mse,recon_mse,median_signal_share,mean_signal_share,median_top1_period,valid_ratio,objective_value
29,TrialState.PRUNED,0.8846249883766655,32,128,3,0.35418997210136827,1024,19,0.0001901088494646544,,,,,,,
27,TrialState.PRUNED,0.8825034841144686,16,64,3,0.19706937712297634,1024,18,0.0018536425291146709,,,,,,,
26,TrialState.PRUNED,0.8672280386626292,26,64,2,0.276080791631361,1024,16,0.0063430568746551215,,,,,,,
30,TrialState.PRUNED,0.8379491635931098,12,64,2,0.20708753037765149,512,14,0.0005313344404388029,,,,,,,
28,TrialState.PRUNED,0.8244311683040728,20,256,3,0.3265658801389776,1024,17,0.0001081369620238304,,,,,,,
38,TrialState.PRUNED,0.8010447031731228,15,128,1,0.36939751594369774,1024,15,0.00016922505235014045,,,,,,,
39,TrialState.PRUNED,0.7608089359115353,18,256,2,0.33101324666146276,1024,19,0.00014131188115511331,,,,,,,
36,TrialState.PRUNED,0.7174214726105493,21,256,1,0.3984620129970091,512,18,0.00019442981001666722,,,,,,,
8,TrialState.PRUNED,0.6289985662709505,30,256,3,0.06448851490160178,512,19,0.004048966222584676,,,,,,,
16,TrialState.COMPLETE,0.13499362068445409,20,64,3,0.3216962405079847,1024,16,0.0001051909502813386,0.9359519643534859,0.9359131803338103,0.13499362068445409,0.13892435757811175,2.337642192347466,1.0,0.13499362068445409
33,TrialState.COMPLETE,0.13423374130324225,24,64,3,0.38020467668282876,1024,16,0.0001444854784488925,0.9453202553575845,0.9447962304046419,0.13423374130324225,0.13581903102078705,2.3352272727272725,1.0,0.13423374130324225
34,TrialState.COMPLETE,0.12938686895020582,28,64,3,0.37634364396379116,1024,19,0.00012789542904821023,0.9446979053586507,0.9443581335016845,0.12938686895020582,0.1331986185954157,2.337642192347466,1.0,0.12938686895020582
21,TrialState.COMPLETE,0.128064518617975,21,64,3,0.3933613891775197,1024,17,0.0001125811559031452,0.9499577585098554,0.9494593806093657,0.128064518617975,0.13000661921034856,2.2571143285072393,1.0,0.128064518617975
22,TrialState.COMPLETE,0.12150923231470354,28,64,3,0.34325200307769754,1024,17,0.008119309552097042,0.9582642651290345,0.9576852219460372,0.12150923231470354,0.1222670371540598,2.337642192347466,1.0,0.12150923231470354
32,TrialState.COMPLETE,0.11294461668672709,24,64,3,0.2903710007617146,1024,16,0.00015633730313438225,0.9269449029037421,0.9266596519665173,0.11294461668672709,0.11337847988994883,2.337642192347466,1.0,0.11294461668672709
14,TrialState.COMPLETE,0.11001134762794135,6,64,3,0.3049389719581018,2048,13,0.00028545278043892806,0.9252107407365526,0.9271162634915632,0.11001134762794135,0.11144577027140268,2.337642192347466,1.0,0.11001134762794135
23,TrialState.COMPLETE,0.10702282738063193,27,64,3,0.36510946715422576,1024,17,0.009355946138378667,0.9633426850648235,0.962715619320736,0.10702282738063193,0.1071512336474139,2.33161423414131,1.0,0.10702282738063193
24,TrialState.COMPLETE,0.10388219521158366,29,64,3,0.33603079197302754,1024,18,0.009204158719740422,0.9685092574829678,0.9680195005412843,0.10388219521158366,0.10457479214218537,2.33161423414131,1.0,0.10388219521158366
37,TrialState.COMPLETE,0.10035302046369099,25,64,3,0.3754848837011023,1024,20,0.00010082587820751251,0.9383758677424286,0.9377557148918757,0.10035302046369099,0.09967123819239561,3.206382978723404,1.0,0.10035302046369099
17,TrialState.COMPLETE,0.09954325646361481,22,64,3,0.3992974101484287,1024,17,0.00010526440823017898,0.9507143921989332,0.9503178445725029,0.09954325646361481,0.10094878747162946,2.3352272727272725,1.0,0.09954325646361481
25,TrialState.COMPLETE,0.09522027286315861,22,64,3,0.39015022937191607,1024,16,0.00060040111927286,0.932770417855798,0.9323641980739732,0.09522027286315861,0.09550729711536893,2.337642192347466,1.0,0.09522027286315861
31,TrialState.COMPLETE,0.0912660168564231,17,64,3,0.27507904682883483,1024,14,0.00026438291443050524,0.919026048384982,0.918915584869342,0.0912660168564231,0.09360834463005405,2.337642192347466,1.0,0.0912660168564231
15,TrialState.COMPLETE,0.08750019493235968,8,64,3,0.3160958317839363,1024,16,0.00024299912310882257,0.9239039365336191,0.9232077803585537,0.08750019493235968,0.0882823150140106,2.3352272727272725,1.0,0.08750019493235968
13,TrialState.COMPLETE,0.08598285826465599,4,64,3,0.30228934015963915,2048,12,0.00035658618223133586,0.9327489976372038,0.9345802105093604,0.08598285826465599,0.08726215455066873,2.337642192347466,1.0,0.08598285826465599
20,TrialState.COMPLETE,0.0851954919444583,22,64,3,0.3536529880535296,1024,15,0.0016155377070117753,0.9144803247005819,0.9140685663974778,0.0851954919444583,0.08713693142910568,2.337642192347466,1.0,0.0851954919444583
18,TrialState.COMPLETE,0.08085880873302588,26,64,3,0.2064114554738083,1024,14,0.00022805897301723068,0.8931451011047089,0.8929214219638136,0.08085880873302588,0.08197154126570685,2.3355722926943856,1.0,0.08085880873302588
12,TrialState.COMPLETE,0.07996925506318814,4,64,3,0.2493307663374398,2048,12,0.00040262600865495886,0.9249478931937899,0.9268458183224685,0.07996925506318814,0.08112285646577352,2.337642192347466,1.0,0.07996925506318814
35,TrialState.COMPLETE,0.07893283819049274,24,128,3,0.3758427047922264,1024,19,0.00012412597768471942,0.8876105645577684,0.8872277115704184,0.07893283819049274,0.07907841945280943,2.3352272727272725,1.0,0.07893283819049274
10,TrialState.COMPLETE,0.07681268975306393,4,64,3,0.255919277250694,2048,10,0.0007006524581917545,0.9210910158497947,0.9230288500023465,0.07681268975306393,0.0774988932773408,2.337642192347466,1.0,0.07681268975306393
19,TrialState.COMPLETE,0.07083486115104484,19,64,2,0.30499705754571443,1024,17,0.0001326059221907609,0.8713000903455473,0.8715887927893134,0.07083486115104484,0.07107909565459991,2.3340216830149716,1.0,0.07083486115104484
11,TrialState.COMPLETE,0.06758781070649746,4,64,3,0.23991224866187477,2048,10,0.0007391158974631257,0.9082779079675675,0.9100889241766137,0.06758781070649746,0.06784431593250369,2.3352272727272725,1.0,0.06758781070649746
9,TrialState.COMPLETE,0.060463257933436335,9,64,1,0.09117406501677668,2048,10,0.001050738402418141,0.8359969547816686,0.8380349394993007,0.060463257933436335,0.06035580833257141,2.337642192347466,1.0,0.060463257933436335
2,TrialState.COMPLETE,0.05755053004018121,9,128,1,0.37955421490133334,512,11,0.0023359635026261607,0.8474073655876442,0.8470055055462908,0.05755053004018121,0.05780039748756172,2.337642192347466,1.0,0.05755053004018121
6,TrialState.COMPLETE,0.05014729631725356,14,128,1,0.13007332881069883,2048,15,0.00017345566642360953,0.779056020293917,0.7818905834919424,0.05014729631725356,0.05062120842925564,2.337642192347466,1.0,0.05014729631725356
0,TrialState.COMPLETE,0.047270855632522875,14,64,1,0.3464704583099741,1024,20,0.004622589001020831,0.8111477254105987,0.8128626996059178,0.047270855632522875,0.047728204708009904,2.337642192347466,1.0,0.047270855632522875
1,TrialState.COMPLETE,0.03978289535152142,10,256,1,0.2447411578889518,2048,15,0.0037183641805732083,0.7798644593783788,0.781368636009776,0.03978289535152142,0.040304267552950926,2.337642192347466,1.0,0.03978289535152142
