,WAPE,MAPE,MAE,RMSE
AAPL,7.450674813806864,7.542190611009627,17.381895955403646,18.701246421743406
ABBV,3.336493892945023,3.345266995009942,5.874580891927078,6.563787817621049
ABNB,2.4096117765754568,2.3057798849211073,3.214598846435547,5.767783960233543
ABT,7.406248261870432,7.053491295838321,8.931223551432293,11.372053011439787
ADBE,5.095158393345674,5.170998286036933,22.208419799804673,24.52896713671281
ADI,2.8160170817455685,2.833114899111689,5.905679829915366,7.175932723048353
ADP,1.921067155390058,1.9010497061744753,5.618686930338542,6.662242931010292
ADSK,1.7777598598938487,1.7919817080519065,5.316930135091147,6.40427474693281
AEP,4.432878494254616,4.346279028240449,4.178763071695963,4.832056563956661
AFL,1.685647178125155,1.693241758178702,1.7264915466308608,1.9857068703580314
AJG,4.527356702275779,4.345522024567132,13.454674275716144,18.049128012065037
ALL,3.3444057065048245,3.3714698967044683,6.205903625488279,6.907586562667867
AMAT,7.717582063884523,7.575035170322937,13.733439127604164,15.436478427080576
AMD,7.072111641832717,7.278915602331984,8.319137064615884,10.131659802475946
AMGN,5.068137108146554,4.909261447125864,13.719367472330719,16.816947385321793
AMT,2.2718508220229046,2.2980474206720674,4.1058344523112025,4.682925683210236
AMZN,3.113524919223206,3.0561799050303295,7.158855183919274,8.778589603817606
ANET,5.148885928933329,5.031689074481416,5.94284413655599,7.61338743579785
APH,2.6727211720487882,2.597305367148967,1.8793106079101562,2.759228701783793
APO,3.0271950307035285,3.095116567178598,4.923866271972656,6.408277083758627
APP,7.7679767162243705,7.078257816211303,28.208695475260416,43.151620999084756
ARES,5.277339937081936,5.167138338429737,9.659206136067706,11.332729181215694
AVGO,4.976742510445022,5.170945229466779,11.284448242187503,14.791092809480633
AXP,4.052295601173121,3.9947403771960586,12.513311767578125,14.457020700782495
AZO,3.0747036427781076,3.025784468271339,102.7421142578125,122.1247151433072
BA,2.7018317569838497,2.7402672642171555,4.752999369303387,5.613491002095163
BAC,3.56447113468655,3.546872930722928,1.6143854777018227,1.713783143915903
BDX,3.861805958254309,3.782229742534631,8.938530476888017,10.90905137510361
BK,7.208519201881579,7.0284872459030865,5.8762964884440105,6.698824088744507
BKNG,4.797709979607125,4.8506686963975305,229.24879557291666,256.15684459037567
BLK,3.845172728356993,3.903135617106437,37.91438598632813,44.249508163752395
BMY,2.43567028866077,2.4033404086219514,1.3441167195638022,1.719275003416017
BRK-B,1.979810263880913,1.9642957084008534,9.189045206705737,10.611303587232516
BSX,10.048506363805508,9.830574127019911,10.074264017740886,11.107548554201491
BX,3.696987876547269,3.74898820673819,6.260448710123697,7.794378841469574
C,9.774867244918799,9.537230934328104,7.494188435872396,8.347515989923783
CAT,3.7106081230928027,3.6207278975326016,13.641508992513023,17.63358118922942
CDNS,2.439260069866039,2.42656203637926,7.3624755859375,9.175714645026268
CEG,22.782762507484208,22.196925563074764,67.92574055989583,72.22353229971539
CI,1.8640214898908505,1.824292578084607,5.2782033284505205,7.277865001034756
CL,4.596317161386221,4.626577061062254,3.956773122151693,4.294457632952521
CMCSA,5.118894658781985,5.311967358691269,1.7879455566406248,2.371852600978401
CME,2.007801568890919,1.971692993813718,4.6510808308919325,6.286921805511709
CMI,2.586882401975948,2.5660913031037142,9.18835856119792,10.216866803463205
COF,7.180896951444333,6.993675063249595,13.81088307698568,15.905456610118328
COIN,5.461643416984138,5.320195770934391,15.227207438151044,18.915204484770864
COP,2.373189276991533,2.370632260135279,2.3264111836751282,2.822368637117091
COR,6.679025623666799,6.582118058287429,16.19985961914062,17.777528327755046
COST,5.078199925176458,4.812106228911742,49.32406005859374,69.5802125626685
CRM,3.383271616465157,3.416387648003183,11.169109090169275,12.924734584360992
CRWD,9.941179782212128,9.41995942745866,38.60050760904949,47.750135033969606
CSCO,2.4841111857959177,2.4260360652510746,1.4820294698079428,1.9885077292356341
CSX,1.0375843894769872,1.0396891917220743,0.3342568079630533,0.40818725046901017
CTAS,5.142550675334872,5.078239478432708,10.088953145345048,10.9099286689081
CVNA,13.334707378659324,12.726867122303828,31.341407267252603,35.55845753735345
CVS,13.626777362130303,12.892389368281554,7.087081019083659,8.399577739872225
CVX,4.571654759209117,4.521912964736591,6.740604146321615,7.527477798669414
DASH,7.341789926365372,7.018436314135124,13.50901590983073,17.026047073568485
DE,6.277283489846433,6.116697208760103,28.28604431152345,32.37791713196843
DELL,8.09896213443216,8.333481689001179,8.813448588053387,10.062551770328877
DHR,6.706462667821128,6.997215643143619,15.202811686197917,18.041802619844113
DIS,2.5459268343793706,2.5770191594873513,2.782351430257165,3.4452824018980426
DUK,1.9447552480713632,1.9161070096517723,2.0786191304524735,2.631194771781495
ECL,3.558431210635324,3.455484650123828,8.60400848388671,11.077263713233581
ELV,3.8576792725733116,3.8146637870302493,14.823549397786474,16.516837463573083
EMR,2.5069771961274263,2.52028830423421,3.0913530985514326,3.5239390336947114
EOG,4.091060335445152,4.016622871421278,5.186574808756508,6.420534639987963
EPD,4.509571395627933,4.477870813612004,1.4011009852091476,1.4936457615333834
EQIX,2.854963072182318,2.8836923881881207,25.850095621744796,29.719295502245135
ET,2.4324361455385977,2.3881086274856083,0.4575849533081056,0.5984861336739328
F,3.387607764452437,3.5079951847996123,0.3100817998250325,0.4489460246889729
FCX,3.9411297054342334,4.015563516195254,1.4868666330973306,1.7881242138722202
FDX,6.162911060229718,6.302687199780037,16.17860310872396,19.19510698740752
FTNT,4.276485151849644,4.0980638221335886,4.276784515380857,5.762839385483946
GD,3.0299481801062065,3.0902339436839497,7.74868621826172,10.114511866854594
GE,11.389815496910957,10.93110737859911,21.74771016438802,25.351407616840593
GILD,2.942771318423755,2.846790610757186,2.7167203267415365,3.8719586934287116
GLW,5.686113972486144,5.518169111417061,2.8253350575764973,3.423253240244412
GM,8.584107927936207,8.868868616388175,4.276892725626627,5.17114626022597
GOOG,2.89283922145357,2.8933829223005505,5.6251256306966075,6.722206607108556
GS,6.805679674166551,6.637261889650679,41.481988525390626,47.18958214917218
HCA,3.3129571246002,3.235720572469751,10.45917765299479,13.168530806763684
HD,3.078826409557769,3.033808508387268,12.207118733723961,14.211124700930599
HLT,2.9970123551444967,2.9128990210207673,7.581196085611982,10.124934292112362
HON,5.253289075210437,5.392878109225344,10.592023722330728,13.262075907426143
HOOD,22.326371744905213,21.085016282927853,11.03875363667806,12.58159719538677
HWM,9.678358107352599,9.46533715480514,11.908082834879558,13.113196560752785
IBKR,13.271793263868911,12.653763653135636,6.851665878295899,8.019951399328539
IBM,5.750730987206435,5.334472035727817,13.283301289876302,19.690784869166627
ICE,4.610993340167077,4.484694785125686,7.122176106770834,8.640671792220342
IDXX,3.7347976346921734,3.6031131430530645,16.298992919921876,21.90478933829533
INTC,5.054514400624001,4.994045823902812,1.0311714808146153,1.226664290838161
INTU,6.660320154607938,6.762034588459379,39.99061889648438,46.6278949482864
ISRG,7.995095294517792,7.846725800751924,45.904292805989584,50.85019485733159
ITW,1.2475172670134964,1.2536612735003128,3.1303695678710945,3.8327575153370885
JNJ,2.5433755140981074,2.494108211319353,3.688135782877604,4.580676340814348
JPM,7.462161850269764,7.266276419679032,19.169302876790358,22.116154876182872
