,WAPE,MAPE,MAE,RMSE
AAPL,7.444883972022383,7.5367288230225125,17.36838633219401,18.699858921948916
ABBV,3.3443548011137914,3.338315296298356,5.888421630859369,6.564165395509982
ABNB,2.4140747841814516,2.3108179652625562,3.2205528259277343,5.766066704408753
ABT,7.439002863511727,7.084145483149347,8.970722452799482,11.425562845669191
ADBE,5.152715025519414,5.2258960264358585,22.45929361979165,24.66074429377949
ADI,2.8561241509586046,2.8755630686553735,5.989791361490886,7.268458358828682
ADP,1.971838072331356,1.9499905301003106,5.767180379231771,6.8670670341838145
ADSK,1.7390690670209543,1.7512278036707445,5.201213582356773,6.361943986838602
AEP,4.449057634163531,4.3626752127568675,4.194014739990234,4.843349941066701
AFL,1.7099651138344174,1.7200359455044432,1.7513987223307315,2.0469456859505635
AJG,4.458314466612993,4.277208151390322,13.24949035644531,17.887187575083235
ALL,3.2278960398568253,3.2552172430027717,5.98970743815104,6.7113561339630925
AMAT,7.694796923408945,7.5524986625291595,13.692892964680988,15.401735444110379
AMD,6.928620894539597,7.134479963946686,8.150344594319659,9.997415607773748
AMGN,4.899641031191605,4.744425825549787,13.263251241048165,16.32202603721383
AMT,2.444292718778006,2.4727367327464504,4.417482503255213,5.006452610214275
AMZN,2.9308389997344277,2.87729085303496,6.738809712727868,8.353982060590864
ANET,5.123338716471302,5.00585720751018,5.913357543945312,7.584047089541919
APH,2.637617281996119,2.5614705600447474,1.8546274820963542,2.745347838370066
APO,2.9863252874952124,3.050341707785605,4.857389831542969,6.237644898915417
APP,7.912094640657562,7.21797874494242,28.73204650878906,43.66940481932464
ARES,5.400984180275695,5.289202847747687,9.885514322916665,11.561213082877217
AVGO,4.862267998797121,5.052019396836379,11.024884541829431,14.450160189839458
AXP,4.109047767362976,4.051424144832882,12.688559977213542,14.591524550181214
AZO,3.122861360270975,3.0737295357511645,104.351318359375,123.54786007833678
BA,2.6788692531017713,2.7160856574850296,4.712604268391929,5.564731473941991
BAC,3.6612427092485396,3.6431950992263755,1.6582143147786457,1.7552571840514615
BDX,3.8032695079954,3.725376610090777,8.803042093912758,10.725105127646698
BK,7.254659389128941,7.073012107401704,5.913909403483073,6.744049373299053
BKNG,4.839489943475804,4.89207471650893,231.245166015625,257.62604054114837
BLK,3.775514602783968,3.831434633296775,37.2275390625,43.38397768149146
BMY,2.4362228360321505,2.4043776888221466,1.344421641031901,1.7189764846280617
BRK-B,1.9630136983239004,1.9472705754930888,9.111086018880217,10.54155071387508
BSX,10.167903728769716,9.948719716844192,10.19396743774414,11.228698323381826
BX,3.658740998323266,3.7043448276039594,6.195681762695312,7.702548293954803
C,9.791725606914135,9.553494094698957,7.507113393147787,8.362436540346893
CAT,3.70128715691752,3.6072363281738102,13.607241821289064,17.69396065575631
CDNS,2.4460845037335153,2.434430869534802,7.383073933919271,9.206382895001733
CEG,22.44745898270953,21.86512643200646,66.9260487874349,71.23676251129545
CI,1.7857044833929276,1.7480322659782161,5.056439208984375,7.045302751936705
CL,4.807898239937761,4.8385304379338985,4.138914235432943,4.475508625641055
CMCSA,5.1098636768785655,5.304410139503291,1.7847911834716794,2.37825260324116
CME,1.979323817598499,1.9437063801716712,4.585111999511724,6.201499009557888
CMI,2.5140397675269983,2.4948849097871197,8.92962849934896,9.901216761796494
COF,7.174999811309501,6.98782793286747,13.799541219075525,15.89123763304713
COIN,5.614146659514224,5.461367569944561,15.652390543619793,19.51994872807438
COP,2.4939033875612737,2.494753836782376,2.4447458902994765,2.961259161321848
COR,6.684976730697584,6.58895626771647,16.214293924967446,17.771532799825533
COST,5.101480822369052,4.837351212243817,49.55018513997394,69.4836119436448
CRM,3.364572797118588,3.397128892276166,11.10737915039063,12.89148731090518
