,WAPE,MAPE,MAE,RMSE
AAPL,7.460321783698047,7.551757735323754,17.40440165201823,18.72126893672707
ABBV,3.358260739575799,3.351333987928393,5.9129058837890565,6.604361707232893
ABNB,2.424820163163799,2.320036645330048,3.234887949625651,5.786933242398963
ABT,7.442792136235019,7.087889520964547,8.975291951497399,11.430714630638969
ADBE,4.875381579415513,4.95184119373792,21.25047200520832,23.648465224936245
ADI,2.8443202502595755,2.8643723635270244,5.965036519368491,7.2248993158701476
ADP,2.0125354967748232,1.9899620435546106,5.886211140950521,7.00344861906268
ADSK,1.7424414250157039,1.749739173145358,5.211299641927085,6.398489941149972
AEP,4.424641625387495,4.338387763127882,4.170998382568359,4.823835362645428
AFL,1.7410091602904518,1.7505001692496813,1.783194986979169,2.068576218110231
AJG,4.424942432513801,4.244694163438523,13.150313313802082,17.794230422532184
ALL,3.313989666215684,3.3411637987853986,6.1494633992513,6.856770254166352
AMAT,7.748185671344168,7.604527130936329,13.787898254394529,15.494824879419449
AMD,6.686294076622461,6.885266326318214,7.865288289388019,9.666673972711733
AMGN,4.887565079108614,4.732981096851159,13.23056182861327,16.27976787402355
AMT,2.5053105124627315,2.5347471572325655,4.527757771809901,5.127213557253054
AMZN,3.049444167986677,2.9935722888996037,7.011515808105472,8.628783740650842
ANET,5.140332660682907,5.020868014358574,5.932971954345703,7.606036301904198
APH,2.6142860600513274,2.5362657745388306,1.8382222493489584,2.747032197642538
APO,2.9188616613571567,2.9808255172278244,4.747657267252604,6.094364995674169
APP,7.98168667153343,7.281184637933268,28.98476359049479,44.03566284725945
ARES,5.340674334427142,5.2297779366244015,9.775128173828124,11.448212271269906
AVGO,4.769402241176675,4.960304492012812,10.814317321777347,14.288574243578788
AXP,4.109996843210993,4.052179129352924,12.691490681966146,14.607989261665391
AZO,3.3118271692754644,3.259630917114599,110.66566569010416,130.87836465332327
BA,2.6635645794617067,2.701884705822562,4.68568064371745,5.564264251094935
BAC,3.712857734470988,3.6943612214515484,1.6815912882486976,1.781040838102953
BDX,3.7963527485104915,3.719651619309291,8.787032572428384,10.667104638173125
BK,7.214423211642608,7.034113894394101,5.881109364827474,6.705119304270994
