,WAPE,MAPE,MAE,RMSE
AAPL,7.738992500054303,7.830537410365156,18.054520670572916,19.33104563695317
ABBV,3.369627164451461,3.350917614807045,5.93291880289713,6.622000047462888
ABNB,2.444434368639453,2.3547841943547554,3.2610547383626303,5.560268917523345
ABT,7.362858052371775,7.012715506371108,8.878899129231772,11.299967461125268
ADBE,5.19822047017088,5.271635755964625,22.657639567057277,24.84709797869442
ADI,2.797708545403474,2.8121988664813546,5.8672836303710945,7.114128343794015
ADP,1.9015890004904963,1.8826721905497261,5.561717732747396,6.602912208792938
ADSK,1.7774792552195502,1.7910139383351003,5.31609090169271,6.519850362886965
AEP,4.755670572445714,4.662986570948503,4.483051045735677,5.160267449320749
AFL,1.6398587738720498,1.6467976211532696,1.679593658447268,1.921702237359601
AJG,4.761861176363534,4.575133357700933,14.151588948567706,18.706439693889703
ALL,3.3905212324346197,3.418349120333522,6.291475931803384,6.988794433341875
AMAT,8.088853204418013,7.946348957023189,14.394116210937499,15.990461593958253
AMD,7.234187767987295,7.440851773922362,8.509792073567706,10.332737569271842
AMGN,5.355066577305494,5.188693411572814,14.496081034342437,17.704384050897776
AMT,2.028384731258091,2.0492750062951552,3.665826924641932,4.216166085838211
AMZN,2.87166803641528,2.818358433039645,6.602759297688805,8.260769062694788
ANET,5.166131718519885,5.042518539227008,5.962749226888021,7.645757023828013
APH,2.7340656340388683,2.6637043588184897,1.9224446614583333,2.7540777997846013
APO,3.1542002484080367,3.229134090739044,5.130445861816407,6.774161406082493
APP,7.773996348039609,7.083935551298157,28.230555216471355,43.19151791926994
ARES,4.920661003891491,4.815413290802762,9.006370544433592,10.68180669795463
AVGO,4.364811515432907,4.547177973094486,9.896933492024743,13.306282669913646
AXP,3.9921902093473878,3.9348680794569506,12.327708943684895,14.286832375398653
AZO,2.970211047381221,2.923817368256378,99.2504638671875,117.54648437109722
BA,2.7192242201043033,2.754284315857669,4.78359578450521,5.617430661212846
BAC,3.5335906695136736,3.5153370374940103,1.6003993988037106,1.7012053915290712
BDX,3.893078166994219,3.8106946990340056,9.0109130859375,11.064003156525532
BK,7.113689106289,6.937271543856882,5.798992156982422,6.607853093855682
BKNG,4.632234658611146,4.684635052628105,221.34189453125,248.11788918793243
