,WAPE,MAPE,MAE,RMSE
AAPL,7.7799995347879145,7.873214720863153,18.150187174479168,19.468969970617326
ABBV,3.4118401142120707,3.377093371992959,6.007243347167963,6.81320082178484
ABNB,2.3678922250383323,2.2559288225092353,3.158941904703776,5.823056798055369
ABT,7.596751164285047,7.233921063549826,9.16095174153646,11.673204642507654
ADBE,4.459390045423174,4.544598550948644,19.437277221679672,22.505811385520783
ADI,2.704511328854935,2.7204035002790903,5.671832784016928,6.884037918522643
ADP,2.060409541188606,2.0368745715265337,6.026231892903646,7.2286256192628136
ADSK,1.7468345037711437,1.7553113126085342,5.224438476562502,6.520222947010899
AEP,4.5786156607545685,4.485192712920071,4.316145833333334,5.033465708014003
AFL,1.6651048428446817,1.675465105093624,1.7054514567057315,2.046988819769453
AJG,4.53625431399304,4.346775919170195,13.481116739908853,18.384500397403716
ALL,3.1643106012706457,3.1911713097790035,5.871717834472654,6.594805076744196
AMAT,7.99319231439722,7.852727665239787,14.223887634277341,15.799853988374753
AMD,6.553696812527208,6.742940540366055,7.709310150146482,9.418765607950425
AMGN,5.5782056328332,5.399235581487236,15.10011494954426,18.620549384662812
AMT,2.2637260921401303,2.29483797252397,4.091150919596359,4.797894610168438
AMZN,3.6218922574372217,3.555064770705808,8.327732340494794,10.00771764965176
ANET,5.0265115510974425,4.911279867497249,5.8015996297200525,7.479258203797387
APH,2.502902875929359,2.419236001837281,1.7599037170410157,2.7274608112663032
APO,3.2163404074052155,3.294818410424618,5.231519571940104,6.932807732001127
APP,7.126515461007911,6.476122245516841,25.879287719726566,40.73968922029992
ARES,5.034580774917492,4.928348134456425,9.214879862467447,10.879152138203454
AVGO,4.616911701665996,4.803282118619003,10.468554687500005,13.861396021306241
AXP,4.077738476579488,4.020691150757175,12.591878255208334,14.467253880833544
AZO,3.450813324373105,3.3958737658949993,115.30992838541667,136.69897047159557
BA,2.601422411753634,2.635564851671256,4.576361592610679,5.432988780451103
BAC,3.8152985840939904,3.7957938914925715,1.7279877980550127,1.825484673460823
BDX,3.833583179917633,3.7504309509602187,8.873206075032552,10.9664323023135
BK,7.182377775306915,7.003791203253081,5.854986317952474,6.6714178186069315
BKNG,5.223563681622335,5.2755011159796865,249.59734700520832,274.09565197410103
BLK,3.6394367625362567,3.690619942476169,35.88577677408854,41.685690995768425
BMY,2.414172555276679,2.386674805976291,1.3322532653808594,1.6800850046713598
BRK-B,1.8754851310451022,1.8604171379139562,8.704832967122403,10.221131781695417
BSX,10.20661446735111,9.986167212349132,10.232777404785157,11.2751097059697
BX,3.6429189607049324,3.6970954197845636,6.168888854980468,7.6831215243171265
C,9.534300479147932,9.299244639026774,7.309750874837239,8.162985727158567
CAT,3.64541088943138,3.548579691612768,13.401820882161461,17.623228105638553
CDNS,2.5382182367402613,2.530106851195862,7.661163330078125,9.359614854846749
CEG,22.201823510969852,21.62106449991799,66.19369812011719,70.48113670311409
